target_names,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,left_distance,right_distance,up_distance,down_distance,target
Z,0.0,0.0,0.0,0.0,0.0,19.336,34.961,0.0,0.0,39.16,13.184,0.0,0.0,0.0,0.0,0.0,36,38,40,42,26
Z,0.0,0.0,0.0,0.0,0.0,21.973,7.422,0.0,0.0,24.707,12.793,0.0,0.0,0.0,0.0,0.0,37,42,44,47,26
Z,0.0,0.0,0.0,0.0,0.488,32.227,0.0,0.0,0.0,28.906,0.0,0.0,0.0,0.0,0.0,0.0,30,64,46,48,26
Z,0.0,0.0,0.0,0.0,0.0,10.547,16.992,0.0,0.0,19.043,7.422,0.0,0.0,0.0,0.0,0.0,45,48,46,49,26
Z,0.0,0.0,0.0,0.0,1.66,24.609,26.172,0.0,0.0,26.172,22.656,2.734,0.0,0.0,0.0,0.0,29,27,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,22.266,6.055,0.0,0.0,21.582,11.523,0.0,0.0,0.0,0.0,0.0,37,40,45,48,26
Z,0.0,0.879,0.0,0.0,0.0,8.984,42.09,0.0,0.0,45.117,7.52,0.0,0.0,0.0,0.0,0.0,32,38,30,33,26
Z,0.0,0.0,0.0,0.0,0.0,15.332,10.645,0.0,0.0,18.555,10.156,0.0,0.0,0.0,0.0,0.0,42,42,46,49,26
Z,0.0,0.0,0.0,0.0,3.711,36.328,14.062,0.0,0.0,32.227,28.027,0.0,0.0,0.0,0.0,0.0,27,32,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,7.129,21.191,0.0,0.0,10.84,17.676,0.0,0.0,0.0,0.0,0.0,50,42,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,19.824,5.664,0.0,0.0,28.125,2.441,0.0,0.0,0.0,0.0,0.0,37,57,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,22.461,24.316,0.0,0.0,34.375,13.574,0.0,0.0,0.0,0.0,0.0,38,42,41,43,26
Z,0.0,0.0,0.0,0.0,0.0,13.086,17.383,0.0,0.0,25.488,16.895,0.0,0.0,0.0,0.0,0.0,40,37,44,46,26
Z,0.0,0.0,0.0,0.0,0.0,22.07,28.516,0.0,16.406,39.258,13.672,0.0,0.0,0.0,0.0,0.0,16,42,35,37,26
Z,0.0,0.0,0.0,0.0,0.0,31.348,13.574,0.0,9.57,38.77,0.0,0.0,0.0,0.0,0.0,0.0,23,51,34,36,26
Z,0.0,0.0,0.0,0.0,0.0,23.438,17.871,0.0,0.0,25.0,15.527,0.0,0.0,0.0,0.0,0.0,31,36,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,8.789,24.707,0.0,0.0,20.508,10.059,0.0,0.0,0.0,0.0,0.0,46,44,44,46,26
Z,0.0,0.0,0.0,0.0,0.0,12.5,21.68,0.0,0.0,21.387,8.496,0.0,0.0,0.0,0.0,0.0,48,50,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,20.996,25.488,0.0,0.0,36.133,13.672,0.0,0.0,0.0,0.0,0.0,34,42,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,12.598,32.031,0.0,0.0,28.711,19.531,0.0,0.0,0.0,0.0,0.0,38,39,36,38,26
Z,0.0,0.0,0.0,0.0,5.078,34.277,4.004,0.0,0.0,34.668,23.047,0.0,0.0,0.0,0.0,0.0,24,33,38,40,26
Z,0.0,0.0,0.0,0.0,1.562,28.125,12.109,0.0,0.0,20.703,18.262,0.0,0.0,0.0,0.0,0.0,29,36,39,42,26
Z,0.0,0.0,0.0,0.0,0.0,21.484,19.434,0.0,0.0,24.219,14.16,0.0,0.0,0.0,0.0,0.0,42,48,41,43,26
Z,0.977,0.977,0.0,0.0,4.492,32.715,39.355,0.0,0.0,55.371,50.977,4.102,0.0,0.0,0.0,0.0,23,28,30,33,26
Z,0.0,0.0,0.0,0.0,0.0,15.723,16.211,0.0,0.0,27.734,12.402,0.0,0.0,0.0,0.0,0.0,37,42,44,47,26
Z,0.0,3.125,7.031,0.0,5.664,23.633,30.176,0.0,0.0,45.117,6.445,0.0,0.0,0.781,0.0,0.0,12,40,29,31,26
Z,0.0,0.0,0.0,0.0,0.0,13.379,26.855,0.0,0.0,31.836,23.926,0.0,0.0,0.0,0.0,0.0,32,35,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,18.75,13.672,0.0,0.0,23.047,8.496,0.0,0.0,0.0,0.0,0.0,37,47,47,50,26
Z,0.0,0.0,0.0,0.0,0.0,25.0,21.094,0.0,0.0,22.363,29.199,0.0,0.0,0.0,0.0,0.0,37,40,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,5.176,9.766,0.0,0.0,20.215,7.617,0.0,0.0,0.0,0.0,0.0,43,51,45,47,26
Z,0.0,0.0,0.0,0.0,0.0,25.0,19.336,0.0,0.0,28.418,16.797,0.0,0.0,0.0,0.0,0.0,37,43,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,32.227,3.516,0.0,0.0,29.395,9.766,0.0,0.0,0.0,0.0,0.0,33,48,34,36,26
Z,0.0,0.0,0.0,0.0,0.0,23.047,21.582,0.0,3.516,34.863,10.645,0.0,0.0,0.0,0.0,0.0,27,45,34,36,26
Z,0.0,0.0,0.0,0.0,0.0,17.09,20.41,0.0,0.0,20.508,11.816,0.0,0.0,0.0,0.0,0.0,36,41,45,47,26
Z,0.0,0.0,0.0,0.0,11.523,31.055,0.0,0.0,7.324,34.863,22.363,9.18,0.0,0.0,0.0,0.0,15,18,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,15.039,22.266,0.0,0.0,30.859,10.742,0.0,0.0,0.0,0.0,0.0,42,47,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,21.777,17.383,0.0,0.0,26.953,13.77,0.0,0.0,0.0,0.0,0.0,41,45,42,44,26
Z,0.0,0.0,0.0,0.0,2.344,23.926,13.965,0.0,3.809,31.836,23.145,0.195,0.0,0.0,0.0,0.0,25,31,37,39,26
Z,0.0,0.0,0.0,0.0,0.0,16.504,16.504,0.0,0.0,21.777,16.797,0.0,0.0,0.0,0.0,0.0,39,42,44,46,26
Z,0.0,0.0,0.0,0.0,0.0,14.453,13.379,0.0,3.223,27.734,11.816,0.0,0.0,0.0,0.0,0.0,26,40,45,48,26
Z,0.0,0.0,0.0,0.0,0.0,24.707,0.0,0.0,0.0,28.027,0.0,0.0,0.0,0.0,0.0,0.0,35,64,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,4.102,19.824,0.0,0.0,19.531,12.109,0.0,0.0,0.0,0.0,0.0,41,45,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,28.516,22.363,0.0,0.0,25.879,25.098,0.0,0.0,0.0,0.0,0.0,37,39,36,38,26
Z,0.0,0.0,0.0,0.0,0.0,15.137,15.039,0.0,0.0,32.52,13.77,0.0,0.0,0.0,0.0,0.0,41,45,37,40,26
Z,0.0,0.0,0.0,0.0,0.0,21.191,5.371,0.0,0.0,19.434,8.398,0.0,0.0,0.0,0.0,0.0,42,50,46,49,26
Z,0.0,0.0,0.0,0.0,2.637,19.727,13.379,0.0,0.0,24.805,20.996,0.0,0.0,0.0,0.0,0.0,28,37,47,49,26
Z,0.0,0.0,0.0,0.0,3.223,31.641,34.863,0.0,8.984,35.645,23.73,1.66,0.0,0.0,0.0,0.0,21,29,38,40,26
Z,0.0,0.0,0.0,0.0,0.0,9.473,31.641,0.0,0.0,29.492,3.906,0.0,0.0,0.0,0.0,0.0,32,35,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,26.465,15.527,0.0,0.0,26.074,9.57,0.0,0.0,0.0,0.0,0.0,41,49,43,45,26
Z,0.0,0.0,0.0,0.0,0.0,18.848,39.16,0.0,0.0,28.418,32.129,0.0,0.0,0.0,0.0,0.0,45,39,36,38,26
Z,0.0,0.0,0.0,0.0,0.0,21.582,27.246,0.0,0.0,27.539,14.844,0.0,0.0,0.0,0.0,0.0,41,44,42,44,26
Z,0.0,0.0,0.0,0.0,1.758,37.305,1.27,0.0,0.0,29.785,19.531,0.0,0.0,0.0,0.0,0.0,29,38,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,13.672,16.699,0.0,0.0,21.191,11.523,0.0,0.0,0.0,0.0,0.0,44,45,45,48,26
Z,0.0,0.0,0.0,0.0,0.0,14.16,19.824,0.0,0.0,29.59,7.812,0.0,0.0,0.0,0.0,0.0,40,50,39,42,26
Z,0.0,0.0,0.0,0.0,0.0,12.793,22.461,0.0,0.0,22.266,4.492,0.0,0.0,0.0,0.0,0.0,41,45,46,47,26
Z,0.0,0.0,0.0,0.0,0.0,12.891,5.176,0.0,0.0,17.48,8.398,0.0,0.0,0.0,0.0,0.0,44,46,46,49,26
Z,0.0,5.078,4.395,0.0,0.0,15.527,11.328,0.0,0.0,35.156,21.68,0.0,0.0,3.223,6.348,0.0,33,35,17,20,26
Z,0.0,0.0,0.0,0.0,0.0,14.16,11.816,0.0,0.0,26.367,9.473,0.0,0.0,0.0,0.0,0.0,42,48,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,31.445,14.844,0.0,0.0,35.156,15.137,0.0,0.0,0.0,0.0,0.0,36,44,37,39,26
Z,0.0,0.0,0.0,0.0,0.0,9.863,28.32,0.0,0.0,31.445,6.738,0.0,0.0,0.0,0.0,0.0,35,40,39,42,26
Z,0.0,0.0,0.0,0.0,0.0,17.773,8.008,0.0,0.0,22.07,11.621,0.0,0.0,0.0,0.0,0.0,43,45,46,48,26
Z,0.0,0.0,0.0,0.0,0.0,25.879,30.566,0.0,0.0,42.676,16.016,0.0,0.0,0.0,0.0,0.0,35,45,38,40,26
Z,0.0,0.0,0.0,0.0,8.496,40.527,0.0,0.0,0.0,30.371,28.613,6.055,0.0,0.0,0.0,0.0,18,26,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,15.625,21.289,0.0,0.0,25.098,15.82,0.0,0.0,0.0,0.0,0.0,41,40,44,47,26
Z,0.0,0.0,0.0,0.0,6.836,27.246,2.148,0.0,0.0,29.98,19.824,4.688,0.0,0.0,0.0,0.0,20,24,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,8.887,26.074,0.0,0.0,29.785,16.797,0.0,0.0,0.0,0.0,0.0,44,43,41,44,26
Z,0.0,0.0,1.465,0.0,0.0,11.719,16.699,0.0,0.0,25.879,23.828,0.0,0.0,1.758,0.195,0.0,43,37,27,30,26
Z,0.0,0.195,0.195,0.0,0.0,39.648,32.715,0.0,1.465,37.891,14.746,0.586,0.0,0.0,0.0,0.0,27,30,31,33,26
Z,0.0,0.0,0.0,0.0,0.0,16.211,41.016,0.0,0.0,44.434,13.379,0.0,0.0,0.0,0.0,0.0,31,35,36,38,26
Z,0.0,0.0,0.0,0.0,0.0,13.477,16.504,0.0,0.0,21.094,9.961,0.0,0.0,0.0,0.0,0.0,43,48,47,50,26
Z,0.0,0.0,0.0,0.0,0.0,23.828,13.574,0.0,0.0,29.785,16.992,0.0,0.0,0.0,0.0,0.0,40,45,43,45,26
Z,0.0,0.0,0.0,0.0,0.0,29.98,16.113,0.0,0.879,20.996,19.922,0.586,0.0,0.0,0.0,0.0,23,26,34,37,26
Z,0.0,0.0,0.0,0.0,0.0,21.973,11.816,0.0,0.0,23.438,15.039,0.0,0.0,0.0,0.0,0.0,34,38,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,18.75,22.168,0.0,0.488,46.582,19.922,0.0,0.0,0.0,0.0,0.0,30,37,38,40,26
Z,0.0,0.0,0.0,0.0,0.0,25.293,15.137,0.0,0.0,37.402,18.848,0.0,0.0,0.0,0.0,0.0,37,38,36,38,26
Z,0.0,0.0,0.0,0.0,7.031,35.059,0.293,0.0,0.0,47.461,20.312,0.0,0.0,0.0,0.0,0.0,23,39,32,35,26
Z,0.0,0.0,0.0,0.0,0.0,27.441,8.301,0.0,0.0,26.562,14.453,0.0,0.0,0.0,0.0,0.0,34,44,44,47,26
Z,0.0,0.0,0.0,0.0,0.0,12.793,17.48,0.0,0.0,19.141,10.547,0.0,0.0,0.0,0.0,0.0,44,48,46,48,26
Z,0.0,0.0,0.0,0.0,0.0,17.285,42.871,0.0,0.0,43.066,15.43,0.0,0.0,0.0,0.0,0.0,35,37,36,38,26
Z,0.0,0.0,0.0,0.0,0.0,24.512,23.828,0.0,6.543,32.031,15.234,0.0,0.0,0.0,0.0,0.0,22,37,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,10.742,28.418,0.0,0.0,30.664,10.938,0.0,0.0,0.0,0.0,0.0,38,41,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,26.172,27.051,0.0,0.0,30.469,13.867,0.0,0.0,0.0,0.0,0.0,34,37,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,9.082,20.312,0.0,0.0,25.977,12.891,0.0,0.0,0.0,0.0,0.0,39,43,43,45,26
Z,0.0,0.0,0.0,0.0,0.0,18.555,9.18,0.0,0.0,22.852,14.16,0.0,0.0,0.0,0.0,0.0,41,44,44,46,26
Z,0.0,0.0,0.0,0.0,0.0,18.066,3.125,0.0,0.0,17.773,7.031,0.0,0.0,0.0,0.0,0.0,41,48,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,7.812,26.172,0.0,0.0,29.59,9.18,0.0,0.0,0.0,0.0,0.0,37,43,39,41,26
Z,0.0,0.0,0.0,0.0,0.0,19.043,13.77,0.0,0.0,28.32,12.695,0.0,0.0,0.0,0.0,0.0,38,42,40,42,26
Z,0.0,0.0,0.0,0.0,2.344,25.586,13.184,0.0,0.0,34.57,15.82,0.0,0.0,0.0,0.0,0.0,28,39,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,18.848,16.211,0.0,0.0,20.703,10.547,0.0,0.0,0.0,0.0,0.0,46,48,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,12.598,16.699,0.0,0.0,26.074,10.938,0.0,0.0,0.0,0.0,0.0,32,45,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,18.164,24.902,0.0,0.0,35.547,14.941,0.0,0.0,0.0,0.0,0.0,37,43,44,46,26
Z,0.0,0.0,0.0,0.0,0.0,15.43,30.859,0.0,0.0,31.543,10.547,0.0,0.0,0.0,0.0,0.0,38,39,35,37,26
Z,0.0,0.0,0.0,0.0,0.0,30.273,14.746,0.0,0.0,34.082,20.41,0.0,0.0,0.0,0.0,0.0,33,39,43,46,26
Z,0.0,0.0,0.0,0.0,6.25,42.969,2.93,0.0,14.844,44.043,30.176,4.688,0.0,0.0,0.0,0.0,19,26,33,35,26
Z,0.0,0.0,0.0,0.0,0.0,37.207,16.504,0.0,0.0,41.602,23.34,0.0,0.0,0.0,0.0,0.0,33,35,40,42,26
Z,0.0,0.0,0.0,0.0,0.0,24.121,12.012,0.0,0.0,31.641,9.375,0.0,0.0,0.0,0.0,0.0,41,53,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,11.621,24.023,0.0,0.0,30.273,10.352,0.0,0.0,0.0,0.0,0.0,40,46,39,42,26
Z,0.0,0.0,2.539,0.0,1.562,36.719,21.191,0.0,0.0,39.16,34.375,0.0,0.0,1.172,0.0,0.0,30,34,26,30,26
Z,0.0,0.0,0.0,0.0,0.0,17.285,18.164,0.0,3.223,38.965,10.254,0.0,0.0,0.0,0.0,0.0,27,49,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,26.367,36.816,0.0,0.0,35.742,20.41,0.0,0.0,0.0,0.0,0.0,35,36,37,40,26
Z,0.0,0.0,0.0,0.0,0.0,12.402,34.961,0.0,0.0,34.082,20.215,0.0,0.0,0.0,0.0,0.0,34,37,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,24.316,3.906,0.0,0.0,23.926,12.793,0.0,0.0,0.0,0.0,0.0,38,41,44,47,26
Z,0.0,0.0,0.0,0.0,0.0,21.875,15.527,0.0,0.0,31.152,12.988,0.0,0.0,0.0,0.0,0.0,34,39,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,16.992,0.0,0.0,0.0,15.332,6.445,0.0,0.0,0.0,0.0,0.0,46,54,52,54,26
Z,0.0,0.0,0.0,0.0,0.0,29.98,1.855,0.0,0.0,26.562,16.699,0.0,0.0,0.0,0.0,0.0,34,38,47,49,26
Z,0.0,0.0,0.0,0.0,0.0,24.707,0.0,0.0,0.0,23.633,13.672,0.0,0.0,0.0,0.0,0.0,34,37,34,37,26
Z,0.0,0.0,0.0,0.0,0.0,26.074,9.473,0.0,0.0,29.395,12.793,0.0,0.0,0.0,0.0,0.0,39,47,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,15.723,36.914,0.0,0.195,43.066,16.309,0.0,0.0,0.0,0.0,0.0,31,38,37,39,26
Z,0.0,0.0,0.0,0.0,8.398,33.691,8.984,0.0,10.352,39.844,20.996,8.398,0.0,0.0,0.0,0.0,20,21,36,39,26
Z,0.0,0.0,0.0,0.0,0.0,8.301,26.855,0.0,0.0,28.711,3.711,0.0,0.0,0.0,0.0,0.0,43,46,34,37,26
Z,0.0,8.203,1.758,0.0,0.0,13.477,27.246,0.0,1.074,47.07,11.426,0.0,0.0,0.488,0.0,0.0,29,45,28,31,26
Z,0.0,0.0,0.0,0.0,0.0,17.188,35.449,0.0,0.0,42.773,18.262,0.0,0.0,0.0,0.0,0.0,33,39,34,36,26
Z,0.0,0.0,0.0,0.0,0.0,25.293,9.57,0.781,0.0,22.559,14.648,0.0,0.0,0.0,0.0,0.0,39,31,47,49,26
Z,0.0,0.0,0.0,0.0,32.617,59.473,4.199,0.0,46.973,37.891,31.543,20.215,0.0,0.0,0.0,0.0,0,6,36,38,26
Z,0.0,0.0,0.0,0.0,0.0,13.477,24.609,0.0,0.0,27.148,12.402,0.0,0.0,0.0,0.0,0.0,45,49,39,42,26
Z,0.0,0.0,0.0,0.0,0.0,13.184,18.75,0.0,0.0,22.949,13.672,0.0,0.0,0.0,0.0,0.0,44,42,44,46,26
Z,0.879,0.0,0.0,0.0,0.0,22.754,9.668,0.0,0.0,44.238,20.312,0.0,0.0,0.0,0.0,0.0,25,43,30,33,26
Z,0.0,0.0,0.0,0.0,1.562,20.898,21.484,0.0,3.223,30.566,17.773,0.195,0.0,0.0,0.0,0.0,27,31,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,39.258,11.816,0.0,6.836,41.602,18.75,0.0,0.0,0.0,0.0,0.0,24,37,35,37,26
Z,0.0,0.0,0.0,0.0,0.0,25.195,9.961,0.0,0.0,24.609,11.426,0.0,0.0,0.0,0.0,0.0,41,47,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,16.992,4.492,0.0,0.0,13.379,10.254,0.0,0.0,0.0,0.0,0.0,46,51,46,49,26
Z,0.0,0.0,0.0,0.0,0.0,41.895,12.891,0.0,0.0,38.086,25.195,0.0,0.0,0.0,0.0,0.0,36,39,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,37.891,6.348,0.0,0.0,40.723,14.355,0.0,0.0,0.0,0.0,0.0,35,47,39,41,26
Z,0.0,0.0,0.0,0.0,0.0,20.215,18.945,0.0,0.0,33.398,14.062,0.0,0.0,0.0,0.0,0.0,33,39,41,43,26
Z,0.0,0.0,0.0,0.0,0.0,24.512,22.656,0.0,0.0,35.352,16.699,0.0,0.0,0.0,0.0,0.0,32,38,40,43,26
Z,0.0,0.0,0.0,0.0,2.344,38.574,10.059,0.0,0.0,44.531,21.484,0.0,0.0,0.0,0.0,0.0,28,38,35,38,26
Z,0.0,0.0,0.0,0.0,0.0,46.68,28.223,0.0,0.0,43.848,28.516,0.0,0.0,0.0,0.0,0.0,32,34,37,39,26
Z,0.0,0.0,0.0,0.0,0.0,15.527,22.168,0.0,0.0,18.945,14.258,0.0,0.0,0.0,0.0,0.0,34,37,45,48,26
Z,0.0,0.0,0.0,0.0,0.0,28.32,20.605,0.0,0.0,27.637,20.02,0.0,0.0,0.0,0.0,0.0,38,40,41,44,26
Z,0.0,0.0,0.0,0.0,1.66,28.125,22.461,0.0,0.0,31.348,19.824,0.0,0.0,0.0,0.0,0.0,28,34,35,38,26
Z,0.0,0.0,0.0,0.0,0.0,29.395,10.645,0.0,0.0,32.715,23.438,0.586,0.0,0.0,0.0,0.0,40,30,34,37,26
Z,0.0,0.0,0.0,0.0,1.66,37.598,8.105,0.0,1.562,38.379,15.918,0.0,0.0,0.0,0.0,0.0,29,39,34,37,26
Z,0.0,0.0,0.0,0.0,0.0,15.82,11.133,0.0,0.0,25.781,14.258,0.0,0.0,0.0,0.0,0.0,44,43,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,19.824,0.0,0.0,0.0,20.703,11.621,0.0,0.0,0.0,0.0,0.0,39,43,46,49,26
Z,0.0,0.0,0.0,0.0,0.0,12.402,17.383,0.0,0.0,20.508,9.375,0.0,0.0,0.0,0.0,0.0,43,48,45,48,26
Z,0.0,0.0,0.0,0.0,0.0,26.367,8.301,0.0,0.0,35.059,18.945,0.0,0.0,0.0,0.0,0.0,33,38,41,43,26
Z,0.0,0.0,0.0,0.0,0.0,15.039,13.867,0.0,0.0,26.855,12.5,0.0,0.0,0.0,0.0,0.0,37,39,40,43,26
Z,0.0,2.637,4.59,0.0,0.781,30.273,39.16,0.0,5.664,50.879,23.73,0.0,0.0,0.488,0.0,0.0,14,41,29,31,26
Z,0.0,0.0,0.0,0.0,0.0,29.004,23.73,0.0,0.0,44.629,22.559,0.0,0.0,0.0,0.0,0.0,32,39,41,43,26
Z,0.0,0.0,0.0,0.0,0.0,20.02,26.074,0.0,0.0,36.523,23.828,0.0,0.0,0.0,0.0,0.0,40,41,34,36,26
Z,0.0,0.0,0.0,0.0,14.355,43.457,0.684,0.0,0.0,35.84,24.121,14.648,0.0,0.0,0.0,0.0,11,14,34,36,26
